Borough,Park or Playground,Week Start Date,Week End date,Sunday's Attendance,Monday's Attendance,Tuesday's Attendance,Wednesday's Attendance,Thursday's Attendance,Friday's Attendance,Saturday's Attendance,Total Attendance
Staten Island,Corporal Thompson - CPI,04/17/2017,04/22/2017,0,0,80,0,0,0,0,80
Manhattan,Tompkins Square Park - CPI,04/18/2017,04/22/2017,0,0,0,0,350,276,0,626
Queens,Playground for All Children - CPI,04/30/2017,05/06/2017,260,0,120,0,470,0,420,1270
Manhattan,Thomas Jefferson Park,08/08/2017,08/12/2017,0,0,454,554,557,712,598,2875
Manhattan,White Park - CPI,08/08/2017,08/12/2017,0,0,40,35,32,85,0,192
Queens,Hoover - Manton Playgrounds,08/06/2017,08/12/2017,0,0,593,692,539,630,717,3171
Queens,Linden Playground (Park of the Americas) - CPI,08/13/2017,08/19/2017,0,0,675,70,640,0,0,1385
Queens,London Planetree,08/13/2017,08/19/2017,0,0,85,90,78,30,0,283
Queens,Beach 59th Street Playground - CPI,08/13/2017,08/19/2017,0,0,17,63,71,0,88,239
Manhattan,Poor Richard's Playground - CPI,08/08/2017,08/12/2017,0,0,80,100,100,100,0,380
Queens,Beach 30th Playground - CPI,08/13/2017,08/19/2017,0,0,5,87,73,0,0,165
Queens,Brookville Playground,08/13/2017,08/19/2017,0,0,31,44,21,0,78,174
Brooklyn,Hattie Carthan,08/13/2017,08/19/2017,0,15,0,7,21,0,1,44
Queens,Linden Playground (Park of the Americas) - CPI,05/02/2017,05/06/2017,0,0,365,400,440,0,440,1645
Queens,Hoover - Manton Playgrounds,08/13/2017,08/19/2017,0,0,132,834,877,0,628,2471
Queens,Juniper Park,08/13/2017,08/19/2017,0,0,135,160,145,0,0,440
Brooklyn,Hattie Carthan,08/06/2017,08/12/2017,0,0,36,20,17,52,6,131
Brooklyn,McLaughlin Park,08/13/2017,08/19/2017,0,0,80,74,50,0,80,284
Brooklyn,Rappoport Playground,08/13/2017,08/19/2017,0,0,190,80,300,80,180,830
Brooklyn,Garibaldi Playground - CPI,08/13/2017,08/19/2017,0,0,70,75,0,40,50,235
Brooklyn,Dyker Beach Park - CPI,08/13/2017,08/19/2017,0,0,90,110,125,0,95,420
Brooklyn,Linden Park,08/13/2017,08/19/2017,0,0,100,120,90,0,80,390
Brooklyn,Betsy Head Playground,08/13/2017,08/19/2017,0,0,100,150,80,100,200,630
Brooklyn,Seth Low,08/13/2017,08/19/2017,0,0,0,150,100,50,250,550
Queens,Colden Playground - CPI,05/06/2017,05/06/2017,0,0,0,0,0,0,122,122
Brooklyn,Sternberg Park - CPI,08/13/2017,08/18/2017,0,0,97,103,85,112,0,397
Bronx,St. James Park,08/20/2017,08/26/2017,0,0,170,185,165,150,125,795
Bronx,Abrams Playground,08/20/2017,08/26/2017,0,0,30,28,33,35,40,166
Bronx,Loreto Playground,08/20/2017,08/26/2017,0,0,0,0,38,47,27,112
Bronx,Echo Park,08/20/2017,08/26/2017,0,0,22,27,30,18,35,132
Bronx,Dawson Playground - CPI,08/20/2017,08/26/2017,0,0,92,56,48,63,0,259
Bronx,Claremont Park,08/20/2017,08/26/2017,0,0,33,37,40,30,49,189
Bronx,Barreto Playground - CPI,08/20/2017,08/26/2017,0,0,0,46,39,34,0,119
